name,Tc
Zr74.1Ti3.9Ni22,3.65
Zr70.2Ti7.8Ni22,3.32
Zr66.3Ti11.7Ni22,3.56
Zr62.4Ti15.6Ni22,3.215
Zr55Cu30Al10Ni5,1.35
Zr55Cu25Nb5Al10Ni5,3
Zr55Co30Al15,2.4
Zr54.6Ti23.4Ni22,2.78
Zr46.75Ti8.25Cu7.5Ni10Be27.5,2.8
Zr41.2Ti13.8Cu12.5Ni10Be22.5,1
Zr3V3O1,7.5
Zr33.3V61.8Nb4.8,6.13
Zr33.3V59.25Nb7.35,6.3
Zr33.3V56.7Nb9.9,5.34
Zr33.3V45.5Nb21.12,4.36
Zr33.3V39.3Nb27.4,5.45
Zr31V61.8Nb7.2,9.65
Zr2Ru3Si4,5.7
Zr2Rh1H0.7,6
Zr2Rh1H0.28,8.8
Zr2Rh1H0.1,10.8
Zr2Rh1H0.08,11.1
Zr2Co1,5.47
Zr2Co0.9Ni0.1,5.94
Zr2Co0.9Ga0.1,5.72
Zr2Co0.9Cu0.1,6.07
Zr2Co0.95Ga0.05,5.79
Zr2Co0.95Cu0.05,6.52
Zr2Co0.8Ni0.2,5.83
Zr2Co0.8Ga0.2,5.29
Zr2Co0.8Cu0.2,5.41
Zr2Co0.85Ni0.15,5.96
Zr2Co0.85Ga0.15,5.56
Zr2Co0.85Cu0.15,5.88
Zr2Co0.7Ni0.3,5.14
Zr2Co0.7Ga0.3,4.97
Zr2Co0.7Cu0.3,4.39
Zr2Co0.75Ni0.25,4.91
Zr2Co0.75Ga0.25,5.1
Zr2Co0.75Cu0.25,4.89
Zr2Co0.6Ni0.4,4.2
Zr2Co0.5Ni0.5,3.11
Zr2Co0.3Ni0.7,1.87
Zr2Co0.15Ni0.85,1.4
Zr29.8V59.4Nb10.8,9.58
Zr28.4V56.8Nb14.8,8.56
Zr27.1V54.1Nb18.8,4.46
Zr25.8V51.3Nb22.9,4.34
Zr24.3V48.5Nb27.2,4.6
Zr23V45.5Nb31.5,5.42
Zr1V1Ge1,6
Zr1V1.85Fe0.15,6.41
Zr1V1.7Fe0.3,4.49
Zr1Ru4P2,11
Zr1Ru1Si1,9.733333333
Zr1Ru1P1,8.496153846
Zr1Ru1P0.9B0.1,8.1
Zr1Ru1P0.95B0.05,8.4
Zr1Ru1P0.8B0.2,5.4
Zr1Ru1P0.85B0.15,6.4
Zr1Ru1P0.6B0.4,5.6
Zr1Ru1Ge1,9
Zr1Ru1As1,8.716666667
Zr1Ru0.9Rh0.1P1,2.9
Zr1Ru0.99Rh0.01P1,10.1
Zr1Ru0.95Rh0.05P1,6.15
Zr1Ru0.95Fe0.05P1,10.3
Zr1Ru0.8Fe0.2P1,2.6
Zr1Rh1P1,1.525
Zr1Pd2In1,2.19
Zr1Pd2Al1,3.4
Zr1P1S1,3.6
Zr1P1.6S0.4,4.36
Zr1P1.5Se0.5,5.76
Zr1P1.4S0.6,4.99
Zr1P1.35Se0.65,6.24
Zr1P1.25Se0.75,6.3
Zr1P1.25S0.75,4.85
Zr1P1.1Se0.9,5.34
Zr1P0.6Se1.4,4.11
Zr1Os1Si1,1.72
Zr1Os1P1,5.3525
Zr1Os1As1,8
Zr1Ni1.5V0.5,0.43
Zr1N1Cl1,13
Zr1N1Cl0.7,13.16666667
Zr1Ir1Si1,2.04
Zr1Hf1As1,3.2
Zr1B12,6.09
Zr1,0.996666667
Zr0.9Mo0.1,4.3
Zr0.99V0.01B2,6.4
Zr0.993Lu0.007B12,5.97
Zr0.985Lu0.015B12,5.67
Zr0.984Lu0.016B12,5.65
Zr0.96V0.04B2,8.7
Zr0.95V0.05B2,8.2
Zr0.935Lu0.065B12,4.77
Zr0.926Lu0.074B12,4.78
Zr0.8Ni0.2,3.59
Zr0.8Mo0.2,4.64
Zr0.87Hf0.13V2,9.45
Zr0.87Ge0.13,2.94
Zr0.7Hf0.3V2,9.9
Zr0.75Pd0.25,3
Zr0.61Rh0.285O0.105,11.8
Zr0.5Hf0.5V2,10.1
Zr0.3Hf0.7V2,9.96
Zr0.13Hf0.87V2,9.76
Zr0.12N1Cl1,12.7
Zn2Zr1,0.296666667
Zn1Tl0.78Ba1Cu1O4.5,81
Zn1N1Ni3,3
Zn1Mo6S8,2.8
Zn1Mo5S6,3.12
Zn1,0.8508
Zn0.04Zr1N1Cl1,15
Zn0.035Zr1N1Br1,14
Zn0.025In2O3,2.68
YbCa0.4Ba1.6Sr0.4Cu4O8,85
YbCa0.2Ba1.6Sr0.4Cu4O8,86
Yb3Rh4Sn13,7.833333333
Yb3Co4Sn13,2.5
Yb3Co4.3Sn12.7,3.4
Yb1Sb2,1.3
Yb1Rh1.4Sn4.6,8.6
Yb1Pd2Sn1,2.06
Yb1Pd2Ge2,1.17
Yb1Mo6Se8,6
Yb1Mo6S8,8.45
Yb1Ga1.1Si0.9,2.4
Yb1Ga1.15Si0.85,2.6
Yb1Bi1S2F0.5O0.5,5.3
Yb1Ba2Cu4O8,78.8
Yb1Ba2Cu3O6.97,88
Yb1Ba2Cu3O6.95,88.4
Yb1Ba2Cu3O6.93,89.5
Yb1Ba2Cu3O6.9,92.8
Yb1Ba2Cu3O6.71,87
Yb1Ba2Cu2.982Zn0.018O6.9,85.1
Yb1Ba2Cu2.943Zn0.057O6.9,64.3
Yb1Ba1.8Sr0.2Cu4O8,81
Yb1Ba1.7Sr0.3Cu3O6.9,81
Yb1Ba1.6Sr0.4Cu4O8,80
Yb1Ba1.6Sr0.4Cu3O6.88,80.2
Yb1Ba1.4Sr0.6Cu4O8,80
Yb1Ba1.2Sr0.8Cu4O8,80
Yb1Al1B4,0.08
Yb1.2Mo6S8,8.6
Yb0.9Pr0.1Ba2Cu3O6.97,88.5
Yb0.9Pr0.1Ba2Cu3O6.92,88
Yb0.9Pr0.1Ba1.7Sr0.3Cu3O6.9,81
Yb0.9Ca0.1Ba1.8Sr0.2Cu4O8,87
Yb0.9Ca0.1Ba1.6Sr0.4Cu4O8,86
Yb0.9Ca0.1Ba1.6Sr0.4Cu3O6.89,62.1
Yb0.9Ca0.1Ba1.4Sr0.6Cu4O8,85
Yb0.9Ca0.1Ba1.2Sr0.8Cu4O8,84
Yb0.995Pr0.05Ba2Cu3O6.97,89.5
Yb0.95Pr0.05Ba2Cu3O6.9,89.1
Yb0.95Pr0.05Ba1.7Sr0.3Cu3O6.91,81
Yb0.925Pr0.075Ba2Cu3O6.97,89
Yb0.8Pr0.2Ba2Cu3O6.97,82
Yb0.8Pr0.2Ba2Cu3O6.88,79.9
Yb0.8Pr0.2Ba1.7Sr0.3Cu3O6.92,76
Yb0.8Lu0.2Ba2Cu3O6.94,89.9
Yb0.8Fe2Se2,42
Yb0.8Ca0.2Ba0.8Sr0.4Cu3O6.85,35
Yb0.85Pr0.15Ba2Cu3O6.97,86.5
Yb0.85Pr0.15Ba1.7Sr0.3Cu3O6.91,80
Yb0.7Pr0.3Ba2Cu3O6.97,73.5
Yb0.7Pr0.3Ba2Cu3O6.87,67.2
Yb0.7Pr0.3Ba1.7Sr0.3Cu3O6.93,63
Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.73,68.05
Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.56,81.35
Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.43,65.3
Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.1,48.3
Yb0.75Pr0.25Ba1.7Sr0.3Cu3O6.92,71
Yb0.6Pr0.4Ba2Cu3O6.91,50.5
Yb0.6Pr0.4Ba1.7Sr0.3Cu3O6.93,46
Yb0.6Lu0.4Ba2Cu3O6.92,89.7
Yb0.65Pr0.35Ba1.7Sr0.3Cu3O6.95,55
Yb0.5Pr0.5Ba2Cu3O6.9,34.8
Yb0.5Pr0.5Ba2Cu3O6.67,38.7
Yb0.5Pr0.5Ba1.7Sr0.3Cu3O6.93,30
Yb0.55Pr0.45Ba1.7Sr0.3Cu3O6.88,41
Yb0.45Pr0.55Ba2Cu3O6.92,18.3
Yb0.45Pr0.55Ba1.7Sr0.3Cu3O6.91,15
Yb0.2W1Se2,2.2
Yb0.2Mo1S2,2.4
Y6Ta4Al43,0.68
Y6Nb4Al43,0.86
Y6Mo4Al43,0.75
Y5Rh6Sn18,3.14
Y5Rh4Ge10,1.35
Y5Os4Si15,10.8
Y5Os4Ge10,8.946666667
Y5Ir4Si10,2.906666667
Y5Ir4Ge10,2.76
Y4Ru6Sn19,1.3
Y4Rh6Sn19,3.2
Y4Os6Sn19,2.5
Y4Os4Si13,9.8
Y4Ir6Sn19,2.2
Y4Dy1Os4Ge10,6.9
Y3Ru4Ge13,2.116666667
Y3Pt4Ge6,2.6
Y3Os8B6,5.8
Y3Os4Ge13,3.9
Y3Dy2Os4Ge10,4.8
Y3Ba5Cu8O18,100.1
Y3.25Dy1.75Os4Ge10,5.2
Y2Tl2Sr2Cu3O11,45
Y2Rh3Si5,2.7
Y2Re3Si5,1.76
Y2Pt1Ge3,2.14
Y2Pd1Si2C1,2.2
Y2Pd1Si2.25C0.75,2.27
Y2Pd1Ge3,3.125
Y2Pd1Ge2Si1,2.24
Y2Pd1Ge2.5Si0.5,3.3
Y2Pd0.9Pt0.1Ge3,2.68
Y2Pd0.8Pt0.2Ge3,2.62
Y2Pd0.7Pt0.3Ge3,2.52
Y2Pd0.6Pt0.4Ge3,2.46
Y2Pd0.5Pt0.5Ge3,2.42
Y2Pd0.3Pt0.7Ge3,2.26
Y2Ni1Ge3,0.533
Y2La1Ba3Cu6O14.17,28
Y2La0.8Ba3.2Cu6O14.2,46
Y2La0.6Ba3.4Cu6O14.02,60
Y2La0.4Ba3.6Cu6O13.91,78
Y2La0.2Ba3.8Cu6O13.92,93
Y2La0.1Ba3.9Cu6O13.94,90
Y2La0.15Ba3.85Cu6O13.99,93.2
Y2Ir3Si5,3.005
Y2I2C2,9.85
Y2I1Br1C2,7.9
Y2I1.75Cl0.25C2,10.7
Y2I1.75Br0.25C2,10.35
Y2I1.6Br0.4C2,11.2
Y2I1.5Cl0.5C2,8.25
Y2I1.5Br0.5C2,11.1
Y2I1.4Br0.6C2,10.5
Y2I1.3Br0.7C2,10.5
Y2I1.2Br0.8C2,9.6
Y2I1.25Br0.75C2,10.05
Y2I0.75Br1.25C2,7
Y2I0.6Br1.4C2,6.4
Y2I0.5Br1.5C2,6
Y2I0.4Br1.6C2,5.8
Y2I0.25Br1.75C2,5.5
Y2Fe3Si5,1.595
Y2Fe1C4,3.6
Y2Dy3Os4Ge10,2.86
Y2Cu2I2,10.1
Y2Cl2C2,2.3
Y2C2I2,9.985
Y2C2Br2,5.03
Y2C2Br1I1,5.08
Y2C2Br0.5I1.5,11.6
Y2C2.9B0.1,16.4
Y2Br2C2,5.05
Y2Br1Cl1C2,3.85
Y2Br1.75Cl0.25C2,4.7
